#BEGIN: Newsletter form
front_newsletter_form_success;Successfully added!
front_newsletter_form_error;Error adding!
front_newsletter_form_email_fail;Error
#END: Newsletter form

admin_menu_index;Home
admin_menu_categories;Categories
admin_menu_pages;Pages
admin_menu_case_study_pages;Case Study Pages
admin_menu_blog_pages;Blog
admin_menu_services;Services
admin_menu_administrators;Administrators
admin_menu_settings;Settings
admin_menu_lang_settings;Language Settings
admin_menu_translation_settings;Translate
admin_menu_translation_settings_name;Name
admin_menu_translation_settings_value;Value
admin_menu_translation_settings_submit;Modify
admin_menu_general_settings;General Settings
admin_menu_comments;Comments
admin_menu_contact;Contact Page
admin_menu_clients;Clients

#BEGIN: Month names
January;Ianuarie
February;Februarie
March;Martie
April;Aprilie
May;Mai
June;Iunie
July;Iulie
August;August
September;Septembrie
October;Octombrie
November;Noiembrie
December;Decembrie
#END: Month names


#BEGIN:categories
#BEGIN:category index
admin_categories;Categories
admin_category_add_new;Add new
admin_add_subcategory;Add Subcategory
admin_category_confirm_delete_title;Confirm delete
admin_category_confirm_delete_message;Are you sure you want to delete this category?
#END:category index

#BEGIN:category add
admin_category_name_label;Name
admin_category_title_label;Title
admin_category_description_label;Description
admin_category_keywords_label;Keywords
admin_category_url_label;URL
admin_category_add;Add
admin_category_add_general_configuration;General Configuration
admin_category_add_visual_elements_configuration;Configure Visual Elements
admin_category_add_meta_tags_configuration;Configure META TAGS
admin_category_incorrect_fields_error_message;Some fields are not completed properly. Please check the error messages unde each field.
admin_category_no_uploaded_images_error_message;Please upload images!
#END:category add

#BEGIN:category edit
admin_category_edit;Edit
admin_category_add;Add Category
#END:category edit

#CATEGORY messages
category_add_success_message;Category successfully added.
category_add_error_message;Error adding category.
category_edit_success_message;Category successfully modified
category_edit_error_message;Error modifying category.
category_delete_success_message;Category successfully deleted
category_delete_error_message;Error deleting category.

#END:categories

#BEGIN:Adminstrators
admin_administrators;Administrators
admin_administrators_change_password;Change Password
admin_administrators_account_settings;Account settings
admin_administrators_name;Name
admin_administrators_surname;Surname
admin_administrators_username;Username
admin_administrators_password;Password
admin_administrators_retype_password;Retype Password
admin_administrators_email;Email
admin_administrators_check_all;Check All
admin_administrators_rights;Rights
admin_administrators_old_password;Old Password
admin_administrators_new_password;New Password
admin_administrators_retype_new_password;Retype New Password
admin_administrators_change_password;Change Password
admin_administrators_modify;Modify
admin_administrators_confirm_delete_title;Confirm delete
admin_administrators_confirm_delete_message;Are you sure you want to delete this user?
admin_add_administrators;Add administrators

#ADMINISTRATOR messages
administrators_add_success_message;Administrators successfully added
administrators_add_error_message;Error adding administrators!
administrators_edit_success_message;Administrator was successfully modified.
administrators_edit_error_message;Error modifying administrator.
administrators_edit_password_error_message;Error changing password.
administrators_invalid_old_password;Incorrect old password! 
administrators_delete_success_message;Administrator successfully deleted!
administrators_delete_error_message;Error deleting administrator.
password_change_success_message;Password successfully changed.

#END:Adminstrators

#BEGIN:Settings
admin_settings_languages;Languages
admin_settings_language_name;Name
admin_settings_language_shortname;Short Name
admin_settings_language_add_flag;Add flag
admin_settings_language_confirm_delete_title;Confirm delete
admin_settings_language_confirm_delete_message;Are you sure you want to delete this language?

#LANGUAGE messages
language_add_success_message;Language successfully added.
language_add_error_message;Error adding language.
language_delete_success_message;Language successfully deleted.
language_delete_error_message;Error deleting language.

admin_general_settings;General Settings
admin_general_settings_name;Name
admin_general_settings_value;Value

#GENERAL messages
general_edit_success_message; All the settings were saved successfully
general_edit_error_message; Error saving settings
admin_settings_translate;Translate

#BEGIN:Translation variables
institution_name;Institution Name
poi_suggestion;Suggest Point of Interest
application_interface_settings;Application Interface Settings

#TRANSLATE messages
translate_edit_success_message;Settings were successfully edited.
translate_edit_error_message;Error editing settings.

#END:Translation variables

street_import_success_message;Streets were successfully imported
street_import_error_message;Error importing streets
street_edit_success_message;Street successfully modified.
street_edit_error_message;Error editing street.
street_delete_success_message;Street was successfully deleted.
street_delete_error_message;Error deleting street.

admin_settings_email_templates;Email Templates
admin_settings_edit_email_templates;Edit Email Templates
admin_email_templates_name;Email Templates Name
admin_settings_admin_email_templates;Admin Email Templates
admin_settings_user_email_templates;User Email Templates
admin_email_templates_subject;Subject
admin_email_templates_content;Content
admin_email_templates_legend;Legend

legend_username;Username
legend_name;Name
legend_problem_title;Title
legend_problem_created;Created
legend_problem_status;Problem Status
confirmation_link;Confirmation link

#email templates Name
new_social_problem;New Social Problem Template
social_problem_status_change;Social Problem Staus changed by User
social_problem_new_message;New Social Problem Message from User
user_social_problem_status_change;Social Problem Status changed by Admin
user_social_problem_new_message;New Social Problem Message from Admin
supporter_confirmation_email;Supporter Confirmation Email
#END:Settings

#BEGIN:templates
admin_poi_templates;POI templates
admin_poi_template_add;Add template
admin_template_confirm_delete_title;Confirm delete
admin_template_confirm_delete_message;Are you sure you want to delete this template?


#BEGIN:Pages
admin_pages;Pages
admin_menu_add_pages;Add Page
admin_pages_edit;Edit Page
admin_menu_list_pages;List Pages
admin_menu_pages;Pages
admin_pages_name;Name
admin_pages_status;Status
admin_pages_content;Content
admin_pages_title;Title
admin_author;Author
admin_pages_shortDescription;Short Description
admin_meta_url;URL
admin_pages_services;Services
admin_pages_descChallange;The challenge
admin_pages_descResults;Results
admin_pages_descApproach;Our approach 
admin_meta_slogan;Slogan
admin_services_icon;Icon
admin_services_name;Name
admin_projectUrl;Project Url
 
admin_poi_default_picture;Default Picture
admin_poi_photo_gallery;Photo Gallery

#PAGE messages
page_add_success_message;Page was successfully added.
page_add_error_message;Error adding page.
page_edit_success_message;Page successfully edited.
page_edit_error_message;Error editing page.
#END:Pages

#BEGIN:Setting Constants
numeInst;Institute Name
adresa;Address
localitate;City
judet;County
tel;Phone
fax;Fax
email;Email
webpage;Web Page
smtp_username;SMTP Username
smtp_password;SMTP Password
smtp_url;SMTP URL
smtp_port;SMTP Port
numeSite;Webpage Name


#BEGIN:Right Constants
acces_modul_setari;Access Setting Module
acces_modul_utilizatori;Access Adminstrator Users Module
adaugare_utilizator;Add Users
editare_utilizator;Edit Users
stergere_utilizator;Delete Users
acces_modul_categorii;Access Category Module
adaugare_categorii;Add Category
editare_categorii;Edit Category
acces_modul_pagini;Access Page Module
editare_pagini;Edit Page
#END:Right Constants

#generals
admin_add_meta_tags_configuration;Meta Tag Configuration
admin_account_settings;Account Settings
admin_account_sign_out;Sign Out
admin_account_signed_in_as;Signed in as
admin_add;Add
admin_add_new;Add new
admin_name;Name
admin_action;Action
admin_edit;Edit
admin_modify;Modify
admin_delete;Delete
admin_details;Details
admin_menu_form_search;Search
admin_menu_form_reset;Reset
admin_uploaded_photos;Uploaded Photos
admin_uploaded_files;Uploaded Files
category;Category
user;User
users;Users
creation_date;Registration date
status;Status
admin_meta_title;Title
admin_meta_keywords;Keywords
admin_meta_description;Description
map;Map
map_configuration;Map Configuration
marked_fields_are_required;The fields marked with <span class="requiredStar">*</span> are required.

back;Back
yes;Yes
no;No

description;Description
attached_documents;Attached documents
admin_menu_form_submit;Save
delete_success_message;The element was successfully deleted
delete_error_message;Error deleting element.
admin_confirm_delete_title;Delete
admin_confirm_delete_message;Are you sure you  want to delete this element?
status_change;Are you sure you want to change status?
status_change_success_message;Status was successfully changes
status_change_error_message;Error changing status!
admin_poi_confirm_file_delete_title;Confrimation message
admin_poi_confirm_file_delete_message;Are you sure you want to delete this picture?
email;Email
comment;Comment
full_name;Full Name
admin_accept_comment;Accept Comment
comment_on_page;Comment on page:
delete_success_message;Successfuly deleted
delete_error_message;Error deleting!

Competitors;Competitors
Voters list;Voters list
